TransactionAmount,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionType_Debit,Cluster_KMeans
795.31,Atlanta,ATM,Lansia,Doctor,90.0,2.0,7914.879999999999,True,1
335.63,Charlotte,Online,Dewasa,Retired,215.99999999999997,1.0,1019.39,True,0
328.47,Austin,ATM,Lansia,Retired,119.0,1.0,4323.66,True,1
34.02,Tucson,Online,Dewasa,Doctor,18.999999999999996,1.0,14214.48,True,0
241.42000000000002,Charlotte,Online,Dewasa,Doctor,116.00000000000001,1.0,13357.02,False,0
55.32,Tucson,ATM,Remaja,Student,117.0,1.0,241.79000000000002,True,1
304.31,Louisville,Branch,Dewasa,Student,33.0,1.0,868.61,True,0
435.27,Jacksonville,Branch,Lansia,Retired,90.0,1.0,4673.28,True,1
164.49,Louisville,Branch,Dewasa,Student,75.0,1.0,1509.27,True,0
510.23999999999995,Charlotte,Online,Remaja,Student,105.0,1.0,781.7,True,1
626.9,Denver,Online,Dewasa,Student,138.0,1.0,265.51,True,0
22.01,Sacramento,Online,Dewasa,Engineer,175.0,1.0,1335.09,False,0
425.34,Atlanta,Online,Lansia,Retired,121.0,1.0,3907.5399999999995,False,1
424.56,Omaha,Online,Dewasa,Engineer,264.0,1.0,5183.85,True,0
85.43,Milwaukee,Branch,Lansia,Doctor,145.0,1.0,14904.9,True,1
169.5,Austin,Branch,Dewasa,Student,142.0,1.0,918.8799999999999,True,0
104.63,Omaha,ATM,Lansia,Retired,90.0,1.0,4477.78,True,1
316.95,Atlanta,Branch,Remaja,Student,83.0,1.0,1324.03,True,1
60.540000000000006,Columbus,Branch,Dewasa,Retired,52.00000000000001,1.0,3534.93,False,0
292.56,Dallas,Branch,Lansia,Retired,61.00000000000001,1.0,4638.37,False,1
386.52,New York,Branch,Dewasa,Engineer,28.0,1.0,5630.61,True,0
112.07,Atlanta,Branch,Remaja,Student,51.00000000000001,1.0,930.3,True,1
568.52,New York,ATM,Dewasa,Engineer,151.99999999999997,1.0,5499.91,True,0
263.99,Dallas,Branch,Lansia,Retired,227.0,2.0,4175.02,True,1
349.64,Milwaukee,Online,Dewasa,Engineer,226.0,1.0,6651.62,True,0
601.4,Tucson,Branch,Dewasa,Engineer,104.0,1.0,8458.29,False,0
5.77,Charlotte,Online,Dewasa,Doctor,123.99999999999999,1.0,13988.12,True,0
201.33,Milwaukee,Branch,Dewasa,Engineer,186.0,1.0,2585.07,False,0
298.42,New York,Branch,Dewasa,Retired,225.0,1.0,3014.75,True,0
521.06,Albuquerque,Branch,Remaja,Student,128.0,1.0,1951.42,True,1
117.28,Austin,Online,Lansia,Engineer,16.0,1.0,3665.77,False,1
189.12,New York,Branch,Dewasa,Engineer,103.0,1.0,977.01,False,0
133.55,Atlanta,ATM,Dewasa,Engineer,220.0,1.0,3846.2800000000007,True,0
143.21,Dallas,Online,Dewasa,Engineer,135.0,1.0,6374.82,True,0
24.77,Atlanta,ATM,Lansia,Retired,55.0,1.0,5866.01,True,1
233.92,Jacksonville,Online,Dewasa,Student,280.0,1.0,6537.62,False,0
1212.51,New York,Branch,Remaja,Student,24.0,1.0,605.9499999999999,True,1
232.12,Omaha,ATM,Dewasa,Engineer,51.00000000000001,1.0,6689.87,True,0
162.63,Atlanta,Online,Remaja,Student,113.0,1.0,634.17,True,1
91.53,Milwaukee,Branch,Dewasa,Doctor,69.00000000000001,1.0,14676.05,True,0
120.29,Miami,Branch,Remaja,Student,77.0,1.0,1362.39,True,1
174.25,Atlanta,Online,Dewasa,Doctor,67.0,1.0,10528.34,True,0
183.71,Denver,ATM,Dewasa,Engineer,102.0,1.0,552.52,True,0
345.39,Milwaukee,Online,Dewasa,Engineer,80.0,1.0,6451.96,False,0
922.55,Houston,ATM,Lansia,Retired,87.0,1.0,4715.84,True,1
259.91,Denver,Online,Dewasa,Doctor,170.0,1.0,7176.86,True,0
154.71,Austin,Online,Dewasa,Doctor,157.0,1.0,1523.72,True,0
1340.19,Austin,Online,Dewasa,Engineer,30.0,1.0,8654.28,False,0
24.56,Atlanta,Branch,Lansia,Doctor,69.00000000000001,1.0,9869.93,True,1
568.07,Washington,ATM,Dewasa,Doctor,115.0,1.0,10556.81,True,0
9.61,Austin,Online,Dewasa,Doctor,179.0,1.0,12883.91,False,0
392.96,Atlanta,Online,Remaja,Student,100.00000000000001,1.0,791.65,True,1
716.93,Milwaukee,Online,Lansia,Retired,34.0,1.0,4064.02,False,1
223.85,Atlanta,ATM,Dewasa,Engineer,55.0,4.0,2929.91,True,0
230.66,Houston,Branch,Remaja,Student,135.0,1.0,618.05,True,1
442.12,Los Angeles,Online,Remaja,Student,260.0,1.0,1375.8,True,1
644.17,Austin,ATM,Dewasa,Engineer,72.0,1.0,1143.52,True,0
508.67999999999995,Atlanta,Branch,Dewasa,Engineer,127.0,1.0,7708.41,False,0
858.63,San Francisco,Branch,Dewasa,Student,185.0,1.0,1872.96,False,0
25.36,Louisville,ATM,Dewasa,Engineer,78.0,1.0,201.04,True,0
147.62,Charlotte,Branch,Lansia,Retired,133.0,1.0,2115.8,True,1
115.02,Austin,Branch,Dewasa,Doctor,175.0,1.0,7643.66,True,0
383.37,Fort Worth,Branch,Dewasa,Engineer,24.0,1.0,8901.93,True,0
98.54,El Paso,Online,Remaja,Student,167.0,1.0,9383.43,False,1
83.24,Fort Worth,Branch,Dewasa,Doctor,164.0,1.0,1181.31,False,0
196.16,Milwaukee,Branch,Dewasa,Engineer,146.0,1.0,9418.86,True,0
129.94,Milwaukee,ATM,Dewasa,Engineer,235.0,1.0,7954.919999999999,True,0
306.9,Jacksonville,Online,Dewasa,Engineer,51.00000000000001,1.0,9418.08,True,0
114.98,Atlanta,Online,Dewasa,Retired,80.0,1.0,6144.68,True,0
756.59,Sacramento,Branch,Dewasa,Student,17.0,1.0,420.65,True,0
503.76000000000005,Los Angeles,Online,Remaja,Student,35.0,1.0,447.82,True,1
143.03,Austin,ATM,Lansia,Retired,147.0,1.0,7981.450000000001,True,1
1045.22,Columbus,ATM,Dewasa,Retired,73.0,1.0,1829.9,True,0
245.54,New York,ATM,Remaja,Student,180.0,1.0,985.0600000000001,True,1
254.37000000000003,Dallas,Online,Dewasa,Engineer,174.0,1.0,8849.26,False,0
213.76,Dallas,ATM,Lansia,Retired,282.0,1.0,3528.72,False,1
327.86,Jacksonville,Online,Dewasa,Engineer,104.0,1.0,480.16,True,0
2.5,Austin,Online,Dewasa,Doctor,107.0,1.0,12145.27,True,0
300.08,Austin,Online,Lansia,Doctor,47.0,1.0,13546.75,False,1
56.98,Charlotte,ATM,Dewasa,Engineer,122.0,2.0,5688.37,False,0
407.65,Atlanta,Online,Dewasa,Engineer,61.99999999999999,1.0,8346.64,True,0
115.83,Jacksonville,Branch,Dewasa,Engineer,167.0,1.0,6481.04,True,0
53.57,Houston,ATM,Lansia,Retired,121.0,1.0,1651.33,True,1
63.34,Houston,Online,Dewasa,Doctor,165.0,1.0,11174.94,False,0
317.87,Houston,Online,Dewasa,Student,91.0,1.0,145.5,True,0
331.65,Portland,Online,Dewasa,Engineer,61.00000000000001,1.0,4172.57,True,0
5.04,Washington,ATM,Dewasa,Retired,41.0,1.0,5558.36,True,0
214.54,Houston,Online,Lansia,Doctor,247.0,1.0,11151.53,False,1
598.81,Tucson,Branch,Dewasa,Doctor,158.0,1.0,1415.52,True,0
841.28,Tucson,Online,Dewasa,Student,80.0,1.0,1103.64,True,0
38.15,Atlanta,Online,Dewasa,Student,107.99999999999999,1.0,303.68,True,0
1036.66,Austin,Branch,Dewasa,Doctor,144.0,1.0,5541.57,True,0
124.72,Charlotte,Branch,Dewasa,Engineer,105.0,1.0,6309.8,True,0
302.45,Austin,Branch,Lansia,Retired,40.0,1.0,5133.61,False,1
208.04,Louisville,Online,Dewasa,Engineer,273.0,1.0,9344.98,True,0
5.77,Los Angeles,Branch,Remaja,Student,254.0,1.0,1117.97,False,1
381.33,Albuquerque,ATM,Dewasa,Doctor,75.0,1.0,11835.35,True,0
16.16,Milwaukee,ATM,Dewasa,Doctor,123.99999999999999,1.0,14401.17,True,0
486.0799999999999,Charlotte,Online,Remaja,Student,68.00000000000001,1.0,1748.69,True,1
336.39,Austin,Branch,Remaja,Student,18.0,1.0,1000.46,True,1
997.4299999999998,Atlanta,Online,Lansia,Doctor,118.0,1.0,6810.05,True,1
234.57,Jacksonville,Online,Remaja,Student,120.0,1.0,263.98,True,1
6.0,Jacksonville,Online,Dewasa,Doctor,246.0,1.0,5442.76,True,0
1049.92,Houston,ATM,Lansia,Retired,21.000000000000004,1.0,2037.85,True,1
227.14,Charlotte,ATM,Remaja,Student,294.0,1.0,341.94,True,1
233.74,Charlotte,Online,Lansia,Retired,17.0,1.0,1066.59,False,1
113.02,Jacksonville,Branch,Lansia,Retired,166.0,1.0,6077.96,False,1
45.85,Los Angeles,ATM,Remaja,Student,91.99999999999999,1.0,1659.15,True,1
973.3899999999999,Sacramento,Branch,Lansia,Retired,296.0,1.0,2042.22,True,1
514.95,New York,Online,Dewasa,Doctor,142.0,5.0,421.93,True,0
415.5,Houston,ATM,Lansia,Doctor,141.0,1.0,10113.66,True,1
265.76,Tucson,Online,Dewasa,Retired,91.99999999999999,1.0,4446.17,True,0
69.4,Milwaukee,Online,Lansia,Retired,113.0,1.0,6452.77,True,1
332.93,Albuquerque,Branch,Dewasa,Engineer,293.0,1.0,2788.2,False,0
267.9,Austin,Online,Remaja,Student,160.0,1.0,596.1599999999999,True,1
496.0299999999999,San Francisco,Branch,Lansia,Doctor,265.0,1.0,12904.66,True,1
376.26,Tucson,ATM,Dewasa,Engineer,245.0,1.0,9062.4,True,0
83.02,Atlanta,Online,Dewasa,Engineer,171.0,1.0,9009.56,False,0
93.26,New York,Online,Remaja,Student,72.0,1.0,1152.2,False,1
803.37,Houston,Branch,Lansia,Doctor,129.0,1.0,12168.37,False,1
35.76,Charlotte,Branch,Remaja,Student,122.0,1.0,611.8599999999999,True,1
28.53,Washington,Online,Lansia,Doctor,99.0,1.0,8670.53,True,1
139.53,Louisville,Online,Dewasa,Doctor,177.0,1.0,10098.86,False,0
307.57,Houston,Branch,Dewasa,Doctor,285.0,1.0,5307.74,True,0
60.650000000000006,Tucson,Branch,Dewasa,Retired,53.00000000000001,1.0,1047.28,False,0
74.86,Milwaukee,Branch,Lansia,Doctor,125.0,1.0,6921.48,True,1
117.97,Atlanta,Branch,Dewasa,Retired,137.0,1.0,1475.46,True,0
231.91,Houston,ATM,Dewasa,Engineer,165.0,1.0,112.76,True,0
126.20999999999998,Louisville,Branch,Lansia,Retired,268.0,1.0,5669.66,True,1
506.28,Jacksonville,Online,Dewasa,Retired,162.0,2.0,1309.95,False,0
304.35,Houston,Branch,Dewasa,Engineer,36.0,1.0,4057.1,True,0
281.85,Houston,ATM,Remaja,Student,109.0,1.0,1585.98,True,1
777.88,Houston,Branch,Dewasa,Engineer,17.0,1.0,6825.55,True,0
119.18,Los Angeles,Branch,Dewasa,Retired,96.0,1.0,5516.5,True,0
177.19,Jacksonville,Online,Lansia,Retired,43.0,1.0,5343.3,True,1
260.88,Denver,Branch,Remaja,Student,36.0,1.0,903.05,True,1
169.47,Jacksonville,Online,Remaja,Student,18.999999999999996,1.0,1806.16,True,1
73.23,Portland,Branch,Dewasa,Student,14.0,1.0,787.7399999999999,True,0
1362.55,El Paso,ATM,Dewasa,Engineer,106.0,1.0,2429.68,True,0
792.57,Louisville,ATM,Remaja,Student,164.0,1.0,770.37,True,1
237.06,Milwaukee,Online,Lansia,Retired,45.99999999999999,1.0,1182.77,True,1
34.17,Tucson,Online,Dewasa,Engineer,53.99999999999999,1.0,726.55,False,0
740.25,Tucson,Online,Dewasa,Doctor,123.0,1.0,14464.3,True,0
453.54,Albuquerque,ATM,Dewasa,Doctor,82.0,1.0,12046.3,True,0
300.47,Jacksonville,Branch,Lansia,Retired,100.00000000000001,1.0,7885.64,True,1
110.93,Milwaukee,Branch,Remaja,Student,201.0,1.0,1952.3499999999997,False,1
201.69,Milwaukee,ATM,Dewasa,Doctor,299.0,1.0,7328.52,True,0
399.21,Portland,ATM,Dewasa,Engineer,109.0,1.0,3210.39,True,0
1041.88,Jacksonville,Online,Lansia,Retired,57.0,1.0,5726.2,True,1
630.36,Atlanta,ATM,Lansia,Retired,52.00000000000001,1.0,1363.65,True,1
10.94,Tucson,ATM,Lansia,Engineer,245.0,1.0,1241.99,False,1
215.9,Los Angeles,ATM,Dewasa,Doctor,235.0,1.0,7873.280000000001,True,0
1422.55,Washington,Branch,Lansia,Retired,165.0,1.0,5674.32,True,1
226.37,Louisville,Branch,Dewasa,Doctor,141.0,1.0,9840.04,False,0
444.89,Milwaukee,Branch,Dewasa,Doctor,101.0,1.0,10328.23,False,0
280.57,Milwaukee,Online,Remaja,Student,24.0,1.0,293.24,False,1
488.54,Jacksonville,Branch,Dewasa,Engineer,132.0,1.0,7486.63,True,0
3.3,Los Angeles,Branch,Dewasa,Doctor,131.0,1.0,11385.37,False,0
199.39,Jacksonville,Branch,Lansia,Retired,165.0,1.0,7264.79,True,1
20.36,Tucson,Branch,Lansia,Retired,75.0,1.0,2762.48,True,1
113.64,Houston,Online,Lansia,Retired,32.0,1.0,6675.03,True,1
493.11,Jacksonville,Branch,Dewasa,Retired,236.0,1.0,7432.99,True,0
307.41,Los Angeles,ATM,Remaja,Student,14.0,1.0,1057.0,True,1
11.18,Atlanta,Online,Dewasa,Doctor,161.0,1.0,5956.89,True,0
313.82,Tucson,Branch,Dewasa,Engineer,151.0,1.0,7261.59,True,0
51.0,Atlanta,Branch,Lansia,Retired,107.0,1.0,4943.16,True,1
140.98,Houston,Branch,Lansia,Engineer,100.00000000000001,1.0,8127.4800000000005,True,1
288.04,Denver,ATM,Lansia,Retired,63.0,1.0,1748.02,True,1
800.55,Charlotte,ATM,Dewasa,Engineer,107.99999999999999,1.0,9660.22,True,0
485.54,Houston,ATM,Dewasa,Engineer,143.0,1.0,6371.51,True,0
521.15,Atlanta,ATM,Dewasa,Doctor,214.0,1.0,9442.47,True,0
321.79,Austin,ATM,Lansia,Retired,61.00000000000001,1.0,5959.2,False,1
304.93,Portland,ATM,Lansia,Doctor,158.0,1.0,13531.22,True,1
432.08,El Paso,ATM,Dewasa,Doctor,145.0,1.0,11500.62,True,0
694.2,Milwaukee,ATM,Lansia,Retired,72.0,1.0,1389.37,True,1
116.86,Louisville,ATM,Dewasa,Engineer,171.0,1.0,6706.56,True,0
386.81,Houston,Online,Dewasa,Doctor,149.0,1.0,7175.29,False,0
74.88,Atlanta,ATM,Remaja,Student,202.0,1.0,420.67,True,1
195.76,Tucson,Branch,Lansia,Retired,99.0,1.0,7323.53,True,1
134.7,Fort Worth,ATM,Dewasa,Doctor,106.0,1.0,8395.85,True,0
890.24,Milwaukee,Online,Dewasa,Engineer,161.0,1.0,5140.93,False,0
361.27,Omaha,ATM,Lansia,Doctor,180.0,1.0,7945.57,True,1
131.56,Charlotte,Branch,Dewasa,Doctor,42.00000000000001,1.0,5873.54,True,0
485.51,Milwaukee,Online,Lansia,Retired,37.0,1.0,3074.45,False,1
547.87,Columbus,ATM,Lansia,Retired,131.0,1.0,6155.76,True,1
457.3,Milwaukee,Online,Dewasa,Engineer,15.0,1.0,8318.29,True,0
506.24,Jacksonville,ATM,Dewasa,Engineer,64.0,1.0,230.09,True,0
486.59,New York,Branch,Dewasa,Retired,119.0,1.0,2513.56,True,0
163.68,Austin,Branch,Dewasa,Doctor,292.0,1.0,10090.05,True,0
581.65,Atlanta,ATM,Remaja,Student,176.0,1.0,480.19000000000005,True,1
52.01,Atlanta,ATM,Dewasa,Doctor,85.0,1.0,1120.88,True,0
630.24,Atlanta,ATM,Remaja,Student,61.99999999999999,1.0,370.81,True,1
523.74,Charlotte,ATM,Dewasa,Doctor,159.0,1.0,13498.55,True,0
705.6,Milwaukee,Branch,Dewasa,Doctor,123.99999999999999,3.0,14804.7,True,0
217.5,Denver,Branch,Dewasa,Engineer,35.0,1.0,3057.4,False,0
91.48,Fort Worth,ATM,Dewasa,Doctor,141.0,1.0,14942.779999999999,True,0
5.25,Austin,ATM,Dewasa,Doctor,49.0,1.0,14143.32,True,0
54.03,Milwaukee,ATM,Dewasa,Retired,161.0,1.0,6736.3,False,0
736.73,Houston,Branch,Dewasa,Engineer,10.0,1.0,3313.07,True,0
368.91,Milwaukee,Branch,Dewasa,Doctor,14.0,1.0,829.7099999999999,True,0
33.06,Fort Worth,Online,Dewasa,Retired,170.0,1.0,1540.87,False,0
66.5,Louisville,Online,Dewasa,Engineer,144.0,1.0,6820.23,False,0
177.08,Milwaukee,Online,Dewasa,Doctor,85.0,1.0,13475.14,True,0
588.54,Portland,Branch,Dewasa,Engineer,130.0,1.0,714.4499999999999,True,0
173.5,Milwaukee,ATM,Remaja,Student,282.0,1.0,1306.91,True,1
78.33,Houston,Online,Dewasa,Engineer,189.0,1.0,7255.33,False,0
40.66,Louisville,Branch,Dewasa,Retired,156.0,1.0,1153.84,True,0
97.22,Atlanta,Branch,Lansia,Retired,55.0,1.0,6647.73,False,1
34.07,Tucson,Branch,Remaja,Student,81.0,1.0,8709.77,True,1
492.06000000000006,Jacksonville,Online,Remaja,Student,74.0,1.0,857.9,True,1
842.01,Milwaukee,Online,Dewasa,Doctor,185.0,1.0,509.45000000000005,False,0
73.55,Atlanta,ATM,Dewasa,Engineer,158.0,1.0,2812.06,True,0
760.53,Milwaukee,Online,Dewasa,Engineer,118.0,1.0,6179.91,True,0
273.08,Houston,Branch,Dewasa,Engineer,134.0,1.0,6609.3,False,0
371.69,San Francisco,Branch,Lansia,Retired,143.0,1.0,3484.32,True,1
218.96,Atlanta,ATM,Remaja,Student,13.0,1.0,754.21,True,1
227.39,Atlanta,Online,Remaja,Student,65.0,1.0,751.09,True,1
237.99,Atlanta,Branch,Dewasa,Doctor,86.0,1.0,8510.09,False,0
186.6,Washington,Online,Dewasa,Doctor,13.0,1.0,1508.72,True,0
341.15,Austin,Online,Remaja,Student,148.0,1.0,511.36999999999995,True,1
434.58,Houston,ATM,Dewasa,Doctor,215.0,1.0,12648.32,True,0
312.88,Portland,Branch,Dewasa,Engineer,44.0,1.0,233.21,False,0
75.15,Atlanta,ATM,Remaja,Student,154.0,1.0,1092.92,True,1
23.3,Los Angeles,ATM,Dewasa,Engineer,161.0,1.0,6711.15,True,0
47.38,Atlanta,Online,Remaja,Student,61.00000000000001,1.0,459.37,False,1
512.81,Sacramento,Branch,Lansia,Retired,30.0,1.0,6994.34,True,1
488.15000000000003,Louisville,Branch,Dewasa,Engineer,168.00000000000003,1.0,7071.09,True,0
12.82,Fort Worth,ATM,Dewasa,Engineer,156.0,1.0,9045.19,True,0
66.9,Charlotte,Online,Lansia,Retired,129.0,4.0,5238.71,False,1
535.91,Milwaukee,Online,Dewasa,Engineer,22.0,1.0,9642.12,True,0
270.72,Washington,Online,Dewasa,Engineer,53.00000000000001,1.0,6263.96,False,0
97.98,Denver,Branch,Lansia,Retired,18.0,1.0,7460.329999999999,True,1
196.08,San Francisco,Online,Lansia,Retired,98.0,1.0,4233.82,True,1
251.18000000000004,Austin,ATM,Dewasa,Engineer,246.0,1.0,8303.9,True,0
44.52,El Paso,Online,Dewasa,Student,205.0,1.0,314.28,True,0
178.87,Louisville,Online,Dewasa,Doctor,180.0,1.0,5241.23,True,0
1176.28,Atlanta,ATM,Dewasa,Engineer,174.0,5.0,323.69,False,0
386.68,New York,Branch,Dewasa,Doctor,128.0,1.0,6863.06,True,0
167.14,Denver,Online,Lansia,Retired,20.0,1.0,3877.7299999999996,True,1
345.22,Jacksonville,Branch,Lansia,Retired,253.0,1.0,4046.5800000000004,True,1
74.85,Austin,ATM,Lansia,Retired,117.0,1.0,2409.73,True,1
671.73,Washington,Branch,Dewasa,Engineer,53.99999999999999,1.0,5211.88,True,0
255.03999999999996,Atlanta,ATM,Dewasa,Engineer,151.99999999999997,1.0,6217.86,True,0
45.77,Tucson,Online,Remaja,Student,109.0,1.0,5978.12,True,1
329.69,Austin,Online,Dewasa,Student,66.0,1.0,1671.66,False,0
362.04,Tucson,Branch,Dewasa,Doctor,198.0,2.0,8421.88,False,0
11.92,Austin,Branch,Dewasa,Doctor,52.00000000000001,1.0,14611.9,True,0
47.42,Austin,ATM,Lansia,Doctor,28.0,1.0,8253.52,True,1
35.99,Miami,Branch,Lansia,Retired,129.0,1.0,4489.79,True,1
151.19,New York,Branch,Dewasa,Doctor,96.0,1.0,11903.82,False,0
242.62,San Francisco,Online,Remaja,Student,234.0,1.0,483.02000000000004,False,1
48.72,Milwaukee,Branch,Remaja,Student,17.0,1.0,816.0799999999999,True,1
43.46,Atlanta,ATM,Remaja,Student,80.0,1.0,578.06,True,1
1036.21,Omaha,Online,Remaja,Student,126.0,1.0,477.3,True,1
443.79,Milwaukee,ATM,Dewasa,Retired,87.0,1.0,3133.85,True,0
365.14,Dallas,Online,Lansia,Retired,57.0,1.0,5894.09,True,1
757.41,Los Angeles,ATM,Remaja,Student,37.0,1.0,9532.42,True,1
20.54,Fort Worth,Branch,Dewasa,Engineer,72.0,1.0,5327.03,True,0
475.36,Milwaukee,ATM,Dewasa,Engineer,105.0,1.0,2000.6,True,0
34.74,San Francisco,ATM,Dewasa,Retired,24.0,1.0,6827.57,True,0
689.54,Charlotte,Branch,Dewasa,Student,93.0,1.0,1633.76,True,0
211.18,Washington,ATM,Lansia,Retired,90.0,1.0,4069.1699999999996,True,1
211.36,Fort Worth,Branch,Dewasa,Engineer,286.0,1.0,7943.469999999999,False,0
744.41,Houston,Online,Dewasa,Engineer,107.0,1.0,8842.47,False,0
61.43,Milwaukee,Online,Remaja,Student,170.0,1.0,1882.77,True,1
167.44,Atlanta,Branch,Dewasa,Doctor,82.0,1.0,12526.71,True,0
361.46,Milwaukee,Online,Remaja,Student,83.0,1.0,4737.84,True,1
378.85,Milwaukee,Branch,Lansia,Retired,126.0,1.0,2300.53,True,1
241.10999999999999,Columbus,Branch,Dewasa,Doctor,55.0,1.0,12385.05,True,0
131.93,Fort Worth,Branch,Dewasa,Engineer,13.0,1.0,4547.06,False,0
20.28,Charlotte,Online,Dewasa,Engineer,213.0,1.0,2047.83,True,0
415.88,Austin,Branch,Lansia,Doctor,170.0,1.0,10008.33,True,1
49.99,Omaha,ATM,Lansia,Retired,139.0,1.0,2299.64,True,1
1221.65,Denver,Online,Dewasa,Student,153.0,1.0,243.92,True,0
100.66,Dallas,Branch,Dewasa,Doctor,144.0,1.0,14473.33,True,0
485.54,Louisville,Online,Remaja,Student,148.0,1.0,1533.32,True,1
321.15,Los Angeles,Branch,Dewasa,Doctor,179.0,1.0,7005.05,True,0
711.3,Austin,Branch,Remaja,Student,51.00000000000001,1.0,955.4,True,1
12.23,Houston,ATM,Dewasa,Engineer,139.0,1.0,7844.880000000001,True,0
350.94,Jacksonville,ATM,Remaja,Student,64.0,1.0,221.56,True,1
301.85,Columbus,Online,Dewasa,Engineer,25.000000000000004,1.0,6586.19,True,0
29.34,Louisville,Online,Lansia,Retired,30.0,1.0,3944.82,True,1
231.71,Austin,Branch,Dewasa,Student,148.0,1.0,1127.98,True,0
179.43,Charlotte,ATM,Dewasa,Retired,244.0,1.0,2626.63,True,0
36.71,Jacksonville,Branch,Dewasa,Doctor,55.0,1.0,6459.38,True,0
138.12,Los Angeles,Branch,Dewasa,Doctor,281.0,1.0,1649.69,False,0
233.24,Louisville,ATM,Dewasa,Engineer,72.0,1.0,6939.23,True,0
609.14,Tucson,ATM,Dewasa,Engineer,177.0,1.0,9033.87,True,0
436.64,Los Angeles,Branch,Dewasa,Doctor,111.0,1.0,14365.18,True,0
870.43,Los Angeles,Branch,Dewasa,Doctor,55.0,1.0,10115.18,True,0
354.4,Jacksonville,ATM,Lansia,Retired,128.0,1.0,7358.65,True,1
22.63,Atlanta,Online,Dewasa,Engineer,112.0,1.0,4438.03,True,0
182.19,Atlanta,Branch,Dewasa,Student,53.00000000000001,1.0,1176.1,True,0
126.81,Tucson,Branch,Dewasa,Engineer,290.0,1.0,5427.98,True,0
288.17,Milwaukee,Online,Dewasa,Engineer,50.00000000000001,1.0,3653.11,True,0
118.77,Atlanta,Branch,Dewasa,Engineer,123.0,1.0,2104.82,True,0
651.82,New York,ATM,Remaja,Student,166.0,1.0,1802.77,True,1
66.65,Houston,ATM,Dewasa,Engineer,33.0,1.0,3559.96,True,0
98.53,Denver,Branch,Lansia,Retired,166.0,1.0,3564.8,True,1
138.95,Washington,Online,Lansia,Retired,30.0,1.0,6752.92,True,1
